date,hospital_id,hospital_name,department,admissions_count,avg_wait_time_minutes,temperature_celsius,rainfall_mm,air_quality_index,is_holiday,is_weekend
2022-01-01,RS-001,RSUD Pasar Minggu,Emergency Room,45,30.6,28.8,21.3,50,1,1
2022-01-01,RS-001,RSUD Pasar Minggu,Outpatient,2,16.2,28.8,21.3,50,1,1
2022-01-01,RS-001,RSUD Pasar Minggu,ICU,8,20.9,28.8,21.3,50,1,1
2022-01-01,RS-002,RSUD Tarakan,Emergency Room,60,41.5,28.8,21.3,50,1,1
2022-01-01,RS-002,RSUD Tarakan,Outpatient,5,14.2,28.8,21.3,50,1,1
2022-01-01,RS-002,RSUD Tarakan,ICU,13,18.2,28.8,21.3,50,1,1
2022-01-01,RS-003,RSUD Cengkareng,Emergency Room,38,27.3,28.8,21.3,50,1,1
2022-01-01,RS-003,RSUD Cengkareng,Outpatient,8,16.6,28.8,21.3,50,1,1
2022-01-01,RS-003,RSUD Cengkareng,ICU,11,16.4,28.8,21.3,50,1,1
2022-01-01,RS-004,RS Fatmawati,Emergency Room,89,49.6,28.8,21.3,50,1,1
2022-01-01,RS-004,RS Fatmawati,Outpatient,6,18.3,28.8,21.3,50,1,1
2022-01-01,RS-004,RS Fatmawati,ICU,11,19.8,28.8,21.3,50,1,1
2022-01-02,RS-001,RSUD Pasar Minggu,Emergency Room,25,24.2,27.6,0.0,72,0,1
2022-01-02,RS-001,RSUD Pasar Minggu,Outpatient,0,16.1,27.6,0.0,72,0,1
2022-01-02,RS-001,RSUD Pasar Minggu,ICU,5,17.7,27.6,0.0,72,0,1
2022-01-02,RS-002,RSUD Tarakan,Emergency Room,63,39.3,27.6,0.0,72,0,1
2022-01-02,RS-002,RSUD Tarakan,Outpatient,1,15.8,27.6,0.0,72,0,1
2022-01-02,RS-002,RSUD Tarakan,ICU,11,18.4,27.6,0.0,72,0,1
2022-01-02,RS-003,RSUD Cengkareng,Emergency Room,43,34.0,27.6,0.0,72,0,1
2022-01-02,RS-003,RSUD Cengkareng,Outpatient,1,14.6,27.6,0.0,72,0,1
2022-01-02,RS-003,RSUD Cengkareng,ICU,1,15.8,27.6,0.0,72,0,1
2022-01-02,RS-004,RS Fatmawati,Emergency Room,92,52.1,27.6,0.0,72,0,1
2022-01-02,RS-004,RS Fatmawati,Outpatient,1,17.5,27.6,0.0,72,0,1
2022-01-02,RS-004,RS Fatmawati,ICU,9,16.1,27.6,0.0,72,0,1
2022-01-03,RS-001,RSUD Pasar Minggu,Emergency Room,28,29.1,27.8,3.3,68,0,0
2022-01-03,RS-001,RSUD Pasar Minggu,Outpatient,107,56.1,27.8,3.3,68,0,0
2022-01-03,RS-001,RSUD Pasar Minggu,ICU,6,16.0,27.8,3.3,68,0,0
2022-01-03,RS-002,RSUD Tarakan,Emergency Room,33,26.8,27.8,3.3,68,0,0
2022-01-03,RS-002,RSUD Tarakan,Outpatient,147,74.6,27.8,3.3,68,0,0
2022-01-03,RS-002,RSUD Tarakan,ICU,10,20.0,27.8,3.3,68,0,0
2022-01-03,RS-003,RSUD Cengkareng,Emergency Room,28,27.2,27.8,3.3,68,0,0
2022-01-03,RS-003,RSUD Cengkareng,Outpatient,110,58.9,27.8,3.3,68,0,0
2022-01-03,RS-003,RSUD Cengkareng,ICU,6,16.8,27.8,3.3,68,0,0
2022-01-03,RS-004,RS Fatmawati,Emergency Room,58,37.6,27.8,3.3,68,0,0
2022-01-03,RS-004,RS Fatmawati,Outpatient,246,113.6,27.8,3.3,68,0,0
2022-01-03,RS-004,RS Fatmawati,ICU,9,17.0,27.8,3.3,68,0,0
